iter	Passed	Remaining
0	145	145797
1	148	74020
2	150	49855
3	152	37921
4	154	30760
5	157	26010
6	159	22621
7	161	20069
8	164	18106
9	167	16543
10	169	15272
11	173	14255
12	176	13366
13	179	12613
14	182	11961
15	185	11385
16	188	10927
17	192	10485
18	195	10093
19	198	9732
20	201	9402
21	205	9117
22	208	8850
23	211	8601
24	214	8370
25	217	8156
26	221	7974
27	224	7786
28	227	7617
29	230	7438
30	233	7291
31	236	7161
32	240	7033
33	243	6919
34	246	6807
35	249	6693
36	253	6595
37	256	6496
38	259	6401
39	262	6310
40	266	6223
41	269	6151
42	272	6073
43	276	5997
44	279	5928
45	282	5861
46	285	5797
47	289	5733
48	292	5669
49	295	5610
50	298	5552
51	301	5501
52	304	5448
53	308	5395
54	311	5345
55	313	5280
56	316	5237
57	319	5192
58	323	5152
59	326	5111
60	329	5069
61	333	5038
62	336	5001
63	339	4966
64	342	4930
65	345	4893
66	349	4861
67	352	4828
68	355	4796
69	358	4765
70	361	4734
71	364	4704
72	368	4674
73	371	4645
74	374	4616
75	377	4593
76	380	4562
77	383	4537
78	387	4515
79	390	4490
80	393	4467
81	397	4447
82	400	4423
83	403	4400
84	406	4377
85	409	4354
86	413	4340
87	416	4320
88	420	4299
89	423	4279
90	426	4258
91	429	4242
92	433	4223
93	436	4204
94	439	4185
95	442	4168
96	446	4152
97	449	4135
98	452	4118
99	455	4101
100	458	4084
101	462	4071
102	465	4054
103	468	4038
104	471	4017
105	474	4002
106	477	3987
107	481	3973
108	484	3961
109	487	3947
110	491	3934
111	494	3923
112	498	3909
113	501	3898
114	505	3887
115	508	3877
116	513	3872
117	516	3862
118	520	3850
119	523	3841
120	527	3834
121	531	3822
122	534	3811
123	537	3798
124	540	3785
125	544	3778
126	548	3770
127	552	3760
128	555	3751
129	560	3752
130	564	3746
131	569	3746
132	574	3746
133	579	3744
134	584	3745
135	597	3794
136	604	3805
137	610	3811
138	616	3818
139	625	3840
140	632	3852
141	636	3846
142	641	3845
143	646	3845
144	652	3846
145	658	3853
146	662	3844
147	666	3834
148	670	3827
149	674	3823
150	678	3814
151	681	3804
152	685	3794
153	690	3793
154	694	3787
155	698	3778
156	702	3772
157	706	3765
158	710	3755
159	713	3745
160	717	3739
161	722	3738
162	727	3737
163	733	3739
164	738	3737
165	742	3731
166	746	3725
167	752	3726
168	757	3726
169	761	3719
170	765	3712
171	771	3713
172	777	3716
173	782	3714
174	786	3708
175	790	3699
176	793	3691
177	797	3681
178	802	3682
179	806	3673
180	810	3665
181	814	3659
182	818	3652
183	821	3643
184	824	3633
185	828	3623
186	831	3615
187	833	3600
188	836	3591
189	840	3581
190	843	3572
191	846	3562
192	850	3554
193	853	3545
194	856	3535
195	859	3526
196	862	3515
197	865	3506
198	869	3497
199	872	3489
200	876	3482
201	879	3473
202	882	3466
203	886	3458
204	889	3450
205	891	3438
206	895	3429
207	902	3434
208	905	3425
209	908	3416
210	911	3407
211	914	3400
212	918	3392
213	921	3385
214	924	3376
215	928	3368
216	931	3360
217	934	3351
218	937	3343
219	940	3335
220	943	3326
221	947	3321
222	950	3312
223	953	3303
224	956	3296
225	963	3298
226	966	3292
227	970	3285
228	973	3277
229	977	3272
230	980	3265
